bits per word: 8
max speed: 500000 Hz (500 KHz)
DIO initialized
DAC initialized
Encoder Initialized
Encoder Initialized


 STEERING --> bringing the steering to the center
 CAN THREAD - Starting can thread
MOTION CONTROLLER THREAD STARTED-----> The given argument was : thread startedEncoder cleared
Encoder cleared

HEARTBEAT_THREAD-----> The given argument was : thread started
CAN_THREAD-----> The given argument was : thread started
 trac_enc= 0 || steer_enc = 38 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 38 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 38 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 39 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 39 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 39 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 40 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 42 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 43 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 44 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 44 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 45 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 45 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 46 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 46 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 46 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 1 || steer_enc = 46 || VL0 = 0.0041 || VF0 = 0.2248 || heading = 0
 trac_enc= 1 || steer_enc = 46 || VL0 = 0.0041 || VF0 = 0.2248 || heading = 0
 trac_enc= 2 || steer_enc = 46 || VL0 = 0.0082 || VF0 = 0.4497 || heading = 0
 trac_enc= 3 || steer_enc = 46 || VL0 = 0.0123 || VF0 = 0.6745 || heading = 0
 trac_enc= 4 || steer_enc = 46 || VL0 = 0.0164 || VF0 = 0.8994 || heading = 0
 trac_enc= 6 || steer_enc = 46 || VL0 = 0.0247 || VF0 = 1.3491 || heading = 0
 trac_enc= 7 || steer_enc = 46 || VL0 = 0.0288 || VF0 = 1.5739 || heading = 0
 trac_enc= 9 || steer_enc = 46 || VL0 = 0.0370 || VF0 = 2.0236 || heading = 0
 trac_enc= 12 || steer_enc = 46 || VL0 = 0.0494 || VF0 = 2.6981 || heading = 0
 trac_enc= 14 || steer_enc = 45 || VL0 = 0.0575 || VF0 = 3.1478 || heading = 0
 trac_enc= 18 || steer_enc = 45 || VL0 = 0.0737 || VF0 = 4.0472 || heading = 0
 trac_enc= 21 || steer_enc = 44 || VL0 = 0.0855 || VF0 = 4.7217 || heading = 0
 trac_enc= 25 || steer_enc = 44 || VL0 = 0.1014 || VF0 = 5.6211 || heading = 0
 trac_enc= 30 || steer_enc = 43 || VL0 = 0.1208 || VF0 = 6.7453 || heading = 0
 trac_enc= 34 || steer_enc = 43 || VL0 = 0.1363 || VF0 = 7.6447 || heading = 0
 trac_enc= 40 || steer_enc = 42 || VL0 = 0.1593 || VF0 = 8.9938 || heading = 0
 trac_enc= 45 || steer_enc = 42 || VL0 = 0.1783 || VF0 = 10.1181 || heading = 0
 trac_enc= 52 || steer_enc = 42 || VL0 = 0.2049 || VF0 = 11.6920 || heading = 0
 trac_enc= 58 || steer_enc = 42 || VL0 = 0.2278 || VF0 = 13.0411 || heading = 0
 trac_enc= 65 || steer_enc = 42 || VL0 = 0.2545 || VF0 = 14.6150 || heading = 0
 trac_enc= 72 || steer_enc = 42 || VL0 = 0.2813 || VF0 = 16.1890 || heading = 0
 trac_enc= 80 || steer_enc = 41 || VL0 = 0.3116 || VF0 = 17.9878 || heading = 0
 trac_enc= 87 || steer_enc = 41 || VL0 = 0.3378 || VF0 = 19.5617 || heading = 0
 trac_enc= 96 || steer_enc = 40 || VL0 = 0.3713 || VF0 = 21.5854 || heading = 0
 trac_enc= 105 || steer_enc = 39 || VL0 = 0.4040 || VF0 = 23.6090 || heading = 0
 trac_enc= 114 || steer_enc = 39 || VL0 = 0.4364 || VF0 = 25.6327 || heading = 0
 trac_enc= 124 || steer_enc = 38 || VL0 = 0.4722 || VF0 = 27.8812 || heading = 0
 trac_enc= 135 || steer_enc = 38 || VL0 = 0.5110 || VF0 = 30.3546 || heading = 0
 trac_enc= 146 || steer_enc = 38 || VL0 = 0.5499 || VF0 = 32.8280 || heading = 0
 trac_enc= 158 || steer_enc = 38 || VL0 = 0.5924 || VF0 = 35.5262 || heading = 0
 trac_enc= 170 || steer_enc = 38 || VL0 = 0.6351 || VF0 = 38.2245 || heading = 0
 trac_enc= 182 || steer_enc = 38 || VL0 = 0.6779 || VF0 = 40.9227 || heading = 0
 trac_enc= 196 || steer_enc = 38 || VL0 = 0.7281 || VF0 = 44.0707 || heading = 0
 trac_enc= 209 || steer_enc = 38 || VL0 = 0.7748 || VF0 = 46.9938 || heading = 0
 trac_enc= 224 || steer_enc = 38 || VL0 = 0.8288 || VF0 = 50.3666 || heading = 0
 trac_enc= 239 || steer_enc = 38 || VL0 = 0.8831 || VF0 = 53.7394 || heading = 0
 trac_enc= 254 || steer_enc = 38 || VL0 = 0.9376 || VF0 = 57.1121 || heading = 0
 trac_enc= 269 || steer_enc = 38 || VL0 = 0.9923 || VF0 = 60.4849 || heading = 0
 trac_enc= 286 || steer_enc = 38 || VL0 = 1.0546 || VF0 = 64.3073 || heading = 0
 trac_enc= 302 || steer_enc = 38 || VL0 = 1.1134 || VF0 = 67.9050 || heading = 0
 trac_enc= 319 || steer_enc = 38 || VL0 = 1.1761 || VF0 = 71.7275 || heading = 0
 trac_enc= 336 || steer_enc = 38 || VL0 = 1.2392 || VF0 = 75.5500 || heading = 0
 trac_enc= 354 || steer_enc = 38 || VL0 = 1.3062 || VF0 = 79.5973 || heading = 0
 trac_enc= 372 || steer_enc = 38 || VL0 = 1.3735 || VF0 = 83.6446 || heading = 0
 trac_enc= 390 || steer_enc = 38 || VL0 = 1.4411 || VF0 = 87.6919 || heading = 0
 trac_enc= 409 || steer_enc = 38 || VL0 = 1.5128 || VF0 = 91.9639 || heading = 0
 trac_enc= 428 || steer_enc = 38 || VL0 = 1.5848 || VF0 = 96.2360 || heading = 0
 trac_enc= 447 || steer_enc = 38 || VL0 = 1.6572 || VF0 = 100.5081 || heading = 0
 trac_enc= 468 || steer_enc = 38 || VL0 = 1.7375 || VF0 = 105.2299 || heading = 0
