###Index	Enc	Ang

314	7132	-30.4566726685
315	7162	-30.4566726685
316	7177	-30.4566726685
317	7206	-30.6811561584
318	7240	-30.6811561584
319	7273	-30.6811561584
319	7287	-30.6811561584
319	7304	-30.6811561584
319	7304	-30.6811561584
319	7320	-30.6811561584
320	7355	-30.6811561584
320	7355	-30.6811561584
320	7386	-30.6811561584
321	7386	-30.6811561584
321	7403	-30.6811561584
321	7421	-30.6811561584
322	7439	-30.9004192352
323	7455	-30.9004192352
323	7473	-30.9004192352
323	7489	-30.9004192352
323	7506	-30.9004192352
325	7541	-31.1196804047
325	7541	-31.1196804047
325	7559	-31.1196804047
326	7576	-31.3389453888
326	7594	-31.3389453888
326	7594	-31.3389453888
327	7610	-31.5634288788
327	7627	-31.5634288788
327	7644	-31.5634288788
328	7660	-31.5634288788
329	7674	-31.7826900482
329	7692	-31.7826900482
330	7722	-32.0019569397
330	7722	-32.0019569397
330	7737	-32.0019569397
330	7751	-32.0019569397
331	7765	-32.226436615
331	7781	-32.226436615
332	7798	-32.4457015991
332	7810	-32.4457015991
332	7810	-32.4457015991
333	7823	-32.4457015991
333	7837	-32.4457015991
333	7850	-32.4457015991
333	7863	-32.4457015991
333	7863	-32.4457015991
333	7875	-32.4457015991
333	7887	-32.4457015991
333	7887	-32.4457015991
334	7900	-32.8842277527
334	7912	-32.8842277527
334	7924	-32.8842277527
335	7935	-32.8842277527
335	7947	-32.8842277527
336	7947	-33.1087112427
336	7958	-33.1087112427
337	7968	-33.1087112427
337	7978	-33.1087112427
337	7990	-33.1087112427
338	8000	-33.3279724121
338	8000	-33.3279724121
339	8010	-33.3279724121
339	8022	-33.3279724121
339	8032	-33.3279724121
339	8032	-33.3279724121
339	8042	-33.3279724121
341	8054	-33.5472335815
342	8064	-33.7717208862
342	8076	-33.7717208862
342	8076	-33.7717208862
343	8097	-33.7717208862
343	8097	-33.7717208862
344	8107	-33.9909820557
344	8118	-33.9909820557
346	8127	-33.9909820557
346	8136	-33.9909820557
346	8145	-33.9909820557
347	8155	-34.2102470398
347	8164	-34.2102470398
348	8175	-34.2102470398
348	8184	-34.2102470398
348	8193	-34.2102470398
350	8211	-34.2102470398
350	8221	-34.2102470398
351	8239	-34.4295082092
351	8248	-34.4295082092
351	8257	-34.4295082092
351	8267	-34.4295082092
351	8276	-34.4295082092
352	8285	-34.4295082092
352	8295	-34.4295082092
353	8314	-34.6539916992
353	8325	-34.6539916992
354	8333	-34.6539916992
354	8343	-34.6539916992
355	8353	-34.6539916992
355	8353	-34.6539916992
355	8364	-34.6539916992
355	8374	-34.6539916992
356	8386	-34.6539916992
356	8386	-34.6539916992
357	8396	-34.8732566833
357	8417	-34.8732566833
358	8429	-34.8732566833
358	8441	-34.8732566833
358	8452	-34.8732566833
358	8464	-34.8732566833
359	8489	-34.8732566833
360	8502	-34.8732566833
360	8502	-34.8732566833
361	8516	-35.0925178528
361	8528	-35.0925178528
361	8543	-35.0925178528
361	8557	-35.0925178528
361	8571	-35.0925178528
362	8598	-35.0925178528
363	8631	-35.0925178528
364	8660	-35.0925178528
365	8676	-35.3170013428
365	8676	-35.3170013428
365	8693	-35.3170013428
366	8729	-35.3170013428
368	8766	-35.3170013428
368	8766	-35.3170013428
368	8786	-35.3170013428
370	8841	-35.3170013428
370	8841	-35.3170013428
371	8877	-35.3170013428
372	8896	-35.5362663269
373	8917	-35.5362663269
373	8917	-35.5362663269
374	8936	-35.5362663269
375	8957	-35.5362663269
375	8975	-35.5362663269
375	8994	-35.5362663269
375	9010	-35.5362663269
375	9029	-35.5362663269
375	9048	-35.5362663269
375	9048	-35.5362663269
375	9068	-35.5362663269
375	9086	-35.5362663269
376	9107	-36.1992759705
377	9124	-36.1992759705
378	9140	-36.1992759705
378	9159	-36.1992759705
378	9177	-36.1992759705
380	9213	-36.4185371399
380	9213	-36.4185371399
380	9231	-36.4185371399
382	9247	-36.6377983093
382	9268	-36.6377983093
383	9285	-36.6377983093
383	9303	-36.6377983093
385	9340	-36.8570632935
386	9356	-36.8570632935
386	9373	-36.8570632935
386	9387	-36.8570632935
386	9407	-36.8570632935
387	9442	-36.8570632935
387	9442	-36.8570632935
388	9478	-37.0815467834
390	9496	-37.0815467834
391	9511	-37.3008079529
391	9527	-37.3008079529
392	9577	-37.3008079529
393	9658	-37.3008079529
395	9673	-37.3008079529
395	9688	-37.3008079529
395	9704	-37.3008079529
396	9718	-37.3008079529
396	9718	-37.3008079529
397	9760	-37.3008079529
397	9772	-37.3008079529
397	9787	-37.3008079529
398	9800	-37.520072937
398	9816	-37.520072937
400	9845	-37.520072937
400	9858	-37.520072937
400	9858	-37.520072937
401	9884	-37.520072937
401	9897	-37.520072937
402	9922	-37.520072937
403	9934	-37.520072937
403	9959	-37.520072937
403	9959	-37.520072937
403	9973	-37.520072937
404	9984	-37.520072937
404	9984	-37.520072937
405	9996	-37.520072937
405	10006	-37.520072937
405	10018	-37.520072937
405	10018	-37.520072937
406	10029	-37.520072937
406	10041	-37.520072937
406	10053	-37.520072937
406	10053	-37.520072937
406	10065	-37.520072937
406	10077	-37.520072937
408	10087	-37.520072937
