route	record	Ang:	1.76454496384		
57270	-7.50192642212	21750	-1.98380792141	277	1.54006147385
58615	-6.17590761185	22226	-1.76454496384	277	1.54006147385
59966	-6.40039110184	22719	-1.76454496384	290	1.54006147385
61323	-7.94567251205	23072	-2.20307087898	302	1.54006147385
62668	-6.17590761185	23337	-2.20307087898	314	1.54006147385
64007	-5.95664453506	23692	-2.42755436897	325	1.54006147385
65402	-9.26647090912	24196	-2.42755436897	340	1.54006147385
66797	-12.3570356369	24800	-2.86608052254	353	0.882272481918
68137	-14.3460636139	25333	-2.86608052254	353	0.882272481918
69480	-15.0090732574	25675	-2.86608052254	366	0.882272481918
70833	-15.4475984573	26022	-2.86608052254	379	0.882272481918
72279	-14.1268005371	26478	-2.86608052254	392	0.882272481918
73628	-14.1268005371	27025	-2.86608052254	405	0.882272481918
75041	-14.3460636139	27709	-2.86608052254	419	0.882272481918
76497	-13.4637908936	28279	-3.74835276604	433	0.882272481918
77865	-12.8007822037	28622	-4.19209957123	433	0.882272481918
79572	-12.1377725601	28916	-4.19209957123	447	0.882272481918
80975	-11.9185085297	29343	-4.41136264801	459	0.882272481918
82431	-12.3570356369	29760	-4.85510873795	459	0.882272481918
83825	-13.4637908936	30249	-4.85510873795	473	0.882272481918
85166	-13.4637908936	30717	-7.06340026855	491	0.882272481918
86517	-13.4637908936	31133	-7.94567251205	505	0.882272481918
87853	-9.92948055267	31524	-7.94567251205	519	0.882272481918
89193	-7.06340026855	31951	-8.82794570923	519	0.882272481918
90543	-3.30982708931	32370	-10.1487436295	535	0.882272481918
91889	-0.438525944948	32852	-10.1487436295	550	0.882272481918
93234	-0.882272481918	33274	-10.1487436295	550	0.882272481918
94575	-1.76454496384	33643	-10.1487436295	567	0.882272481918
96724	-1.32079851627	34052	-10.1487436295	581	0.882272481918
98739	-0.882272481918	34521	-10.1487436295	598	0.882272481918
100387	-1.10153543949	34965	-13.0200443268	614	0.882272481918
101980	-1.10153543949	35342	-13.4637908936	630	0.882272481918
103336	-1.54006147385	35760	-13.4637908936	630	0.882272481918
104750	-1.32079851627	36203	-13.4637908936	648	0.882272481918
106213	0.0	36551	-14.5653266907	648	0.882272481918
107575	-0.438525944948	36851	-14.5653266907	668	0.882272481918
109031	0.0	37251	-14.7845897675	684	0.882272481918
110437	-0.438525944948	37675	-14.5653266907	703	0.882272481918
111932	0.0	38155	-14.3460636139	703	0.882272481918
113278	0.0	38545	-14.3460636139	721	0.882272481918
115173	0.0	38862	-14.3460636139	741	0.882272481918
120207	-2.20307087898	39207	-14.3460636139	741	0.882272481918
127250	-2.42755436897	39629	-14.3460636139	761	0.882272481918
131032	-7.94567251205	40041	-14.3460636139	780	0.882272481918
133537	-15.8913450241	40476	-14.3460636139	798	0.882272481918
136136	-12.8007822037	40875	-14.3460636139	798	0.882272481918
138087	-14.5653266907	41295	-14.3460636139	843	0.882272481918
139771	-16.9928817749	41714	-14.1268005371	843	0.882272481918
141645	-18.9819107056	42188	-14.1268005371	863	0.882272481918
143805	-20.7464561462	42535	-14.1268005371	882	0.882272481918
145555	-21.6287269592	42825	-14.1268005371	903	0.882272481918
147717	-19.201171875	43178	-13.6830539703	903	0.882272481918
149813	-14.7845897675	43628	-13.6830539703	925	0.882272481918
151439	-14.5653266907	44022	-13.6830539703	944	0.882272481918
153107	-15.0090732574	44405	-13.4637908936	944	0.882272481918
154310	-13.4637908936	44890	-13.2393083572	966	0.882272481918
155325	-11.2554998398	45451	-13.2393083572	966	0.882272481918
156732	-6.61965417862	45926	-13.2393083572	988	0.882272481918
158412	-5.73738098145	46401	-13.2393083572	988	0.882272481918
160397	-4.19209957123	46852	-13.4637908936	1030	0.882272481918
162623	-2.64681744576	47212	-13.6830539703	1030	0.882272481918
164746	-1.98380792141	47512	-13.6830539703	1050	0.882272481918
167524	-7.94567251205	47852	-13.6830539703	1071	0.882272481918
171407	-8.82794570923	48289	-13.6830539703	1090	0.882272481918
172917	-8.164935112	48729	-13.6830539703	1090	0.882272481918
174403	-8.38419914246	49186	-13.6830539703	1115	0.882272481918
175949	-10.811753273	49600	-13.6830539703	1135	0.882272481918
177490	-13.0200443268	49970	-13.9023170471	1135	0.882272481918
179062	-13.0200443268	50420	-13.9023170471	1154	0.882272481918
180471	-13.4637908936	50886	-13.9023170471	1173	0.882272481918
181749	-14.5653266907	51276	-13.9023170471	1193	0.882272481918
183073	-16.5543556213	51611	-13.9023170471	1193	0.882272481918
184570	-19.4204349518	52026	-13.6830539703	1217	0.882272481918
185842	-19.6449184418	52424	-13.0200443268	1238	0.882272481918
